,name,id,lat,lng,userscount,visitscount,checkinscount,tipcount,zipcode
132,New Dynasty,4ee1353b8b816da57bbb0cb6,40.749409513249454,-73.99548280136918,139,479,449,4,10001
133,28 Fusion Sushi/Chef 28,4ac4cfd1f964a520119f20e3,40.74369840605878,-73.98514777637979,817,1768,1663,20,10016
134,Chinese Fast Wok,4aa6ec6af964a5207a4b20e3,40.744370788894514,-73.99550313639813,343,783,692,14,10011
135,Mr Bing,592ef7cb2bf9a9463ec14d05,40.74895572304195,-73.98835461352502,30,30,30,0,10011
136,Taste Kitchen,59e392e4916bc141768f54f0,40.753601,-73.993487,1,1,1,0,10018
137,Hot Sichuan,53e10e19498ee2ab1ebd326e,40.743635864972326,-74.003451991979,154,254,243,6,10011
138,Buddakan,44e9b421f964a520a5371fe3,40.74224088989257,-74.0046067331331,24720,32113,27705,472,10011
139,Hao Noodle and Tea by Madam Zhu's Kitchen,57253c92498e3c0f9a690b7c,40.7334030786336,-73.99980215251975,3492,4744,1672,49,10014
140,Excellent Dumpling House,5898c42832b07235680f373c,40.7440310817379,-73.99516009292122,1033,1360,675,11,10011
141,Shorty Tang Noodles,582a4088da08cb6d478ce53a,40.74026915851698,-74.0021262953133,730,884,443,14,10011
142,Very Fresh Noodles,56b4157d498e3b7e896370d8,40.74226558025584,-74.0063798133011,1157,1546,1287,27,10011
143,Chop Shop,4fcea172e4b071a2c8809ed2,40.74880956654446,-74.00341006658152,3567,5500,3455,38,10001
144,Sammy's Noodle Shop,3fd66200f964a520f2e91ee3,40.73517747101567,-73.99849891662598,5841,9639,6312,112,10011
145,RedFarm,4e1df590b61c7cb34d9735a8,40.73416895229589,-74.00625367536026,9021,13007,11025,260,10014
146,Jue Lan Club,562a58d2498e979da966b1b5,40.74087684146646,-73.99358462925947,1375,1777,1125,16,10011
147,Legend Bar & Restaurant 蜀留香,4cf70d59dc40a35d63a04b54,40.7395893079078,-73.99903119143728,5781,9583,5868,96,10011
148,Grand Sichuan International,49c81307f964a520f1571fe3,40.74725197392034,-74.00094538087599,4805,8117,5954,107,10001
149,Decoy,526eeb54498e9674b5d9034a,40.734181587313365,-74.00646239519119,2379,3110,2564,82,10014
150,Auntie Guan's Kitchen,56e310cf498e64591a7da177,40.73763278617108,-73.99740657080172,659,926,594,9,10011
151,Niu Noodle House,4ff0e85ee4b036efb47b6147,40.73443302379938,-73.99989990069467,3063,4038,3034,58,10014
152,Shu Han Ju Chinese Restaurant,540b96a9498e77fa82499dad,40.73539885615483,-73.99829670654898,313,505,397,9,10011
153,Panda Express,5800f6fe38faa8d30d961a70,40.7502659973641,-73.99475638254314,211,338,288,1,10001
154,Golden City,4b0980eff964a520611823e3,40.75337989525288,-73.99645332512665,393,1339,1194,12,10001
155,Lotus Blue,59b80f8125fb7b648e26cdda,40.735997,-73.991922,19,19,19,1,10003
156,Grand Sichuan Eastern,4dfa9cfc483b085eeda1dcab,40.74258761218343,-74.00043504625874,925,1761,1653,29,10011
157,Ming's Restaurant,4bb0e0e0f964a520e4653ce3,40.75289959873118,-73.9967027435105,215,628,564,4,10001
158,New Li Yuan Restaurant & Bakery,4a7b0519f964a520d1e91fe3,40.75448836700365,-73.9910519179946,270,890,818,16,10018
159,New Dynasty,4ee1353b8b816da57bbb0cb6,40.749409513249454,-73.99548280136918,139,479,449,4,10001
160,Chinese Fast Wok,4aa6ec6af964a5207a4b20e3,40.744370788894514,-73.99550313639813,343,783,692,14,10011
161,Village Express Asian Cuisine,59dd3f41db2aeb3d9584f269,40.732298,-74.003341,2,2,2,0,10014
162,Taste Kitchen,59e392e4916bc141768f54f0,40.753601,-73.993487,1,1,1,0,10018
163,Hot Sichuan,53e10e19498ee2ab1ebd326e,40.743635864972326,-74.003451991979,154,254,243,6,10011
164,Café China,4e3484038877beb5e9a22a0b,40.7499796904135,-73.98223427700086,10367,17182,9342,240,10016
165,Szechuan Gourmet,47af5d00f964a5209e4d1fe3,40.752197360026386,-73.98368302207766,7508,12049,8581,175,10018
166,Calle Dão,53f29ab9498e248b534f7759,40.75239396102473,-73.98413520228499,3580,4869,2225,42,10018
167,Hakkasan,4ea832fe8b8154b19ffa31ad,40.75822103861813,-73.99015090774017,8220,11443,8365,148,10036
168,Kung Fu Little Steamed Buns Ramen,52b782a6498ee2a8438f4150,40.76159729016552,-73.98656783215048,6088,9037,4950,142,10019
169,Panda Express,57bdfbb4498e68c4b71697da,40.761017128295435,-73.99083090318739,562,981,646,7,10036
170,Chaan Teng,58267d7eb4f96246b74368b5,40.76218296501885,-73.98984588380407,711,865,379,3,10036
171,China Xiang,56f85fba498ed90422c0e8f5,40.75823445243313,-73.99244142800832,380,547,359,4,10036
172,Ollie's Sichuan Restaurant,4aa707ccf964a520d84b20e3,40.75869555247971,-73.99322083968677,4298,6336,4344,53,10036
173,Lan Sheng Szechuan Restaurant 草堂小餐,57dddade498eaf06318e5a86,40.75168933480759,-73.98815637133109,486,706,286,4,10018
174,Main Noodle House,4a3fcc65f964a520f2a31fe3,40.75204369049894,-73.98613800616226,2433,4839,3956,48,10018
175,Savour Sichuan,54db9021498ee7bd148d3d06,40.75315799135671,-73.9860598167793,495,736,487,9,10018
176,Ginger's,4ae7264af964a520e2a821e3,40.75317836771786,-73.9890789165319,3115,6112,5496,77,10018
177,Tasty Hand-Pulled Noodles II,55da5c5d498ea579b2923db6,40.76063191503683,-73.99101904180245,569,955,730,7,10036
178,Panda Express,5800f6fe38faa8d30d961a70,40.7502659973641,-73.99475638254314,211,338,288,1,10001
179,Manting Chinese Famous Foods,556f5220498e875eca7b9c7a,40.76019318484058,-73.98314074118191,446,890,703,3,10019
180,Hyo Dong Gak,49ebe710f964a52044671fe3,40.75013168829856,-73.98632563528624,2395,4430,4174,35,10001
181,Golden City,4b0980eff964a520611823e3,40.75337989525288,-73.99645332512665,393,1339,1194,12,10001
182,Zest Szechuan,56e067e2498ee4f64c6605b3,40.752657675388065,-73.98468550354744,291,422,376,7,10018
183,Ming's Chinese Food Express,4f325e2019836c91c7d0deb5,40.754301,-73.988741,9,33,33,0,10018
184,Kung Fu Kitchen,58f24fb30868a239e6757850,40.7614,-73.98698,48,54,53,0,10019
185,Bao by Kaya,566b1c17498e5da2a93bcd81,40.74913061186404,-73.98812505394727,62,69,69,1,10010
186,Ming's Restaurant,4bb0e0e0f964a520e4653ce3,40.75289959873118,-73.9967027435105,215,628,564,4,10001
187,Chinese Culinary Competition,4ca4b82bf832a1cdc266a8e5,40.75884,-73.985102,6,10,10,0,10001
188,New Li Yuan Restaurant & Bakery,4a7b0519f964a520d1e91fe3,40.75448836700365,-73.9910519179946,270,890,818,16,10018
189,New Dynasty,4ee1353b8b816da57bbb0cb6,40.749409513249454,-73.99548280136918,139,479,449,4,10001
190,AA Jing,4a957d36f964a520652320e3,40.76191189992124,-73.99009104537538,1324,2245,2189,35,10036
191,Taste Kitchen,59e392e4916bc141768f54f0,40.753601,-73.993487,1,1,1,0,10018
192,Xi'an Famous Foods,57d1efb5498e018d15de8ba3,40.76194320113338,-73.97745613307671,2003,3219,1572,15,10019
