,neighborhood,lat,lng,subway,competitors,rating,review_count,price,rent,half-mile_sub_count,unsupervised_score
108,108,40.884809547807016,-73.90496285175439,11,1,0.0,0.0,0.0,44.5,9,0.0037890979285707845
109,109,40.67990144109756,-73.91702634670732,19,1,4.0,6.0,1.0,18.0,13,0.015047119081618729
110,110,40.762040470289115,-73.97650259562926,23,4,3.5,656.0,2.142857142857143,134.27083333333334,97,0.004199708881853121
111,111,40.66975477711864,-73.80729099067797,0,0,0.0,0.0,0.0,34.06666666666667,0,0.00030447281007798274
112,112,40.85158579059524,-73.97256768702381,0,2,3.6666666666666665,116.66666666666667,1.6666666666666667,45.91,0,0.0034415125952639986
113,113,40.85179916540881,-73.93288728188679,11,1,3.1666666666666665,52.333333333333336,1.0,45.91,16,0.0018026124121393238
114,114,40.822533933451325,-73.89224954522123,26,4,0.0,0.0,0.0,27.858823529411733,17,0.03933179024260367
115,115,40.946564020833335,-74.02623474708334,0,0,0.0,0.0,0.0,40.166666666666664,0,0.00354481816807654
116,116,40.78993444077586,-74.05090679448277,0,0,0.0,0.0,0.0,52.75333333333333,0,0.0023083151091577987
117,117,40.90973443507463,-74.03245942253731,0,2,0.0,0.0,0.0,40.166666666666664,0,0.0059894372659613
118,118,40.753382066893934,-74.02619118439394,0,2,3.25,38.5,1.5,47.080000000000005,0,0.004448268197137928
119,119,40.83220549636364,-73.9449798789091,14,1,3.6666666666666665,24.0,1.0,31.576666666666664,18,0.006429338682384865
120,120,40.70697555212766,-73.78872816882979,24,1,0.0,0.0,0.0,34.06666666666667,19,0.003722221688634204
121,121,40.87141018421053,-74.17790277894737,0,0,0.0,0.0,0.0,52.75333333333333,0,0.004515214417405768
122,122,40.78471122627451,-73.81359208529412,0,0,0.0,0.0,0.0,36.21,0,0.002470536922223794
123,123,40.759664025423724,-73.92604773350283,12,2,3.3,48.6,1.1,47.45491056910599,10,0.0028813555622833873
124,124,40.752720368695655,-73.72704003695652,0,0,0.0,0.0,0.0,34.0,0,0.002128574659443029
125,125,40.68214988562092,-73.9473542486928,12,2,0.0,0.0,0.0,64.79999999999998,10,0.005881803203655012
126,126,40.62713887043478,-74.14209064927536,0,0,0.0,0.0,0.0,18.209292035398196,0,0.003031158651714696
127,127,40.900586791071426,-74.12232074142857,0,1,0.0,0.0,0.0,57.776666666666664,0,0.003651482995106378
128,128,40.69212523346939,-74.17876155244899,0,0,0.0,0.0,0.0,18.86,0,0.0
129,129,40.8081856994,-73.94788787091998,17,0,3.227272727272727,9.545454545454545,1.0,41.666666666666664,18,0.0012436190238964606
130,130,40.824989956559136,-73.98156288741936,0,0,3.8333333333333335,92.33333333333333,2.0,41.11,0,0.0022018324336472287
131,131,40.63289663083333,-73.74314351916667,4,0,0.0,0.0,0.0,33.4,0,0.0007767903216613789
132,132,40.82979655305883,-73.91919989535296,32,4,0.0,0.0,0.0,32.36499999999998,26,0.007389111606382301
133,133,40.955679209333326,-73.928239168,0,0,0.0,0.0,0.0,21.5,0,0.0
134,134,40.73559573207679,-73.9909767449738,16,2,3.3333333333333335,369.9166666666667,1.5833333333333333,294.73499999999893,62,0.005011079861686146
135,135,40.97110372142857,-73.96332190357144,0,2,0.0,0.0,0.0,77.98031496062993,0,0.0037066821838769724
136,136,40.847784585599996,-74.22864705239999,0,0,0.0,0.0,0.0,47.080000000000005,0,0.005362376943406322
137,137,40.7004222843421,-73.99062257280701,7,1,0.0,0.0,0.0,54.13297872340426,13,0.027035467446547192
138,138,40.7201611909375,-73.7644829228125,0,0,0.0,0.0,0.0,34.06666666666667,0,0.02779663022967592
139,139,40.96489072657895,-73.86621113184209,0,0,0.0,0.0,0.0,23.16923076923077,0,0.0043600811531014985
140,140,40.74358152525,-74.256952533,0,0,0.0,0.0,0.0,18.86,0,0.0009298076711869428
141,141,40.854374747702714,-74.03650904175676,0,0,0.0,0.0,0.0,57.91,0,0.0016376481754378782
142,142,40.836934682666666,-73.70643452600001,0,0,0.0,0.0,0.0,101.64666666666723,0,0.0002455180042229097
143,143,40.63726185165049,-73.99116944058251,12,1,0.0,0.0,0.0,25.599999999999998,11,0.002961854821101278
144,144,40.733568764405604,-73.87118696755245,9,3,4.0,50.0,1.0,26.5,9,0.005510314843067247
145,145,40.604755753157896,-73.95795951410527,5,2,0.0,0.0,0.0,35.0,4,0.005195409571087507
146,146,40.70339928584906,-73.90310282830188,15,1,4.0,27.8,0.8,47.60000000000012,9,0.005654175062331061
147,147,40.72902759319728,-74.00676840880952,9,2,3.5,145.5,1.5,147.5,27,0.003964402656161605
148,148,40.68375373846154,-73.7171888255128,0,1,0.0,0.0,0.0,34.06666666666667,0,0.00819911632657256
149,149,40.5799478174,-73.8373028096,5,0,0.0,0.0,0.0,29.333333333333332,1,0.010195111485924991
150,150,40.89651225941176,-73.82025954784314,1,0,0.0,0.0,0.0,28.833333333333332,0,0.002825961954426784
151,151,40.74574726807693,-74.17367506192308,0,0,0.0,0.0,0.0,74.18333333333334,0,0.0004149910119663767
152,152,40.78467679689189,-74.19241145324324,0,0,0.0,0.0,0.0,47.080000000000005,0,0.0
153,153,40.78803480301588,-74.13074179301587,0,0,0.0,0.0,0.0,47.080000000000005,0,0.001751458511918774
154,154,40.82535213855073,-73.85425007753624,0,1,0.0,0.0,0.0,34.943333333333335,0,0.005074312283396591
155,155,40.708252521892646,-74.0059655608192,26,1,2.9444444444444446,77.22222222222223,1.2222222222222223,81.80333333333333,96,0.0015346141350469536
156,156,40.639210095466666,-73.89895054106668,5,0,0.0,0.0,0.0,30.0,3,0.006357637434478024
157,157,40.748925180186326,-73.93931658198758,32,1,3.0,24.0,1.0,22.0,28,0.0008083367988494836
158,158,40.666641374722225,-74.231571,0,0,0.0,0.0,0.0,18.86,0,0.004465106179616633
159,159,40.7917440018,-73.7007701956,0,0,0.0,0.0,0.0,35.375,0,0.0025586072416268887
160,160,40.68634206312757,-73.9936404587243,9,0,0.0,0.0,0.0,18.0,19,0.003103333050869937
161,161,40.762727782249996,-74.14800217475,0,0,0.0,0.0,0.0,88.18333333333334,0,0.0033622689402190245
162,162,40.85334588514563,-73.88582736213594,0,1,0.0,0.0,0.0,38.0,0,0.005170156799861119
163,163,40.81599588246914,-74.00756562395061,0,0,3.8333333333333335,20.0,1.0,59.800000000000004,0,0.0
164,164,40.719866277982455,-73.84393761675439,8,1,0.0,0.0,0.0,35.0,8,0.0028499939431575394
165,165,40.71422890851064,-74.19861121936171,0,0,0.0,0.0,0.0,18.86,0,0.001806987791433313
166,166,40.882360558070175,-73.87965656842105,6,1,0.0,0.0,0.0,44.5,6,0.003158439261310697
167,167,40.74934764645418,-74.00462251394424,1,2,2.75,99.0,1.0,41.27,13,0.001720912622120269
168,168,40.75872186465117,-74.21892823593024,0,1,0.0,0.0,0.0,20.933333333333334,0,0.0038368139709540994
169,169,40.7460643954,-73.88467407315,19,7,3.8076923076923075,82.0,1.1538461538461537,50.94333333333333,19,0.029655992088976013
170,170,40.89487068545454,-74.03853089590909,0,0,0.0,0.0,0.0,44.60999999999999,0,0.0020211089304054677
171,171,40.72381560651515,-73.79371830863636,0,0,0.0,0.0,0.0,34.06666666666667,0,0.006551506187392442
172,172,40.586455470263154,-73.9327828736842,0,1,0.0,0.0,0.0,29.166666666666668,0,0.0035498310763486134
173,173,40.65392699795918,-73.95804103632653,17,0,0.0,0.0,0.0,61.29333333333333,11,0.00364586042760959
174,174,40.84272516166666,-74.10956479785716,0,0,0.0,0.0,0.0,52.75333333333333,0,0.0019846990217447513
175,175,40.78472979172414,-73.8414725235632,0,1,4.0,31.0,1.0,27.599999999999998,0,0.0024258978598596785
176,176,40.61305413141177,-74.00493099458824,13,3,0.0,0.0,0.0,44.833333333333336,7,0.005637778476337227
177,177,40.674521258294114,-73.96342087494119,13,0,3.5,49.0,1.0,84.86666666666666,13,0.0026771674241996874
178,178,40.94257144833333,-74.15020904800001,0,0,0.0,0.0,0.0,45.44333333333333,0,0.0032718650708909547
179,179,40.66404727514285,-73.9268823672857,10,1,0.0,0.0,0.0,49.199999999999996,8,0.004074676976606396
