,Unnamed: 0,Unnamed: 0.1,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count,competitors_rank,half-mile_sub_count_rank,rent_rank,price_rank,unsupervised_score_rank,review_count_rank,rating_rank,S1,S1_rank,S2,S2_rank,S3,S3_rank,S4,S4_rank
14,87,87,87,40.789529048515625,-73.94756894832031,1,0.9215686274509804,0.7288888888888888,0.0326219512195122,0.8581098614253537,0.09168586511530302,0.5519999999999999,0.14285714285714285,27,20,1,27,4,31,15,0.4626220561595302,19,0.5004835021412483,10,0.41872397473605927,27,0.4770952893352463,8
15,90,90,90,40.71593395942363,-73.9972345625072,1,0.0,0.8079772079772081,0.3805190744215135,0.71585750969497,0.7924974788147682,0.4974358974358975,0.4183673469387755,17,7,16,31,36,5,14,0.5192031029745392,35,0.5671124283168727,27,0.6121894384164519,25,0.19025953721075675,19
16,101,101,101,40.764625586897814,-73.95754960010949,1,0.9215686274509804,0.7444444444444445,0.08323170731707318,0.7339796862235226,0.05944175907438826,0.52,0.19387755102040816,46,17,47,11,13,45,35,0.45609062925513616,34,0.4639286186219654,44,0.3830312467124499,10,0.5024001673840268,27
17,110,110,110,40.762040470289115,-73.97650259562926,1,0.9215686274509804,0.7777777777777777,1.0,0.5586511625208146,0.06484637198162163,0.1428571428571428,0.9897959183673468,47,42,17,12,26,25,6,0.7187733096830901,42,0.7742235404440807,15,0.6323481067515889,19,0.9607843137254902,5
18,113,113,113,40.85179916540881,-73.93288728188679,1,0.9803921568627452,0.7037037037037036,0.07977642276422765,0.866276742040489,0.02783356616011344,0.6,0.16326530612244894,11,47,24,6,11,27,29,0.47020798294228794,3,0.5147710240814689,25,0.4173835324971979,44,0.5300842898134864,45
19,119,119,119,40.83220549636364,-73.9449798789091,1,0.9803921568627452,0.8148148148148148,0.03658536585365853,0.9161778102714964,0.09927337811324498,0.6,0.18367346938775508,45,3,4,46,38,30,42,0.5051528325506192,27,0.5499256398296257,35,0.45979518748634957,15,0.5084887613582019,38
20,129,129,129,40.8081856994,-73.94788787091998,1,1.0,0.7171717171717171,0.014550997782705096,0.881049779216785,0.01920232666018195,0.6,0.18367346938775508,4,28,45,22,12,13,22,0.46927471503652396,39,0.53236162430227,19,0.42972976477385244,35,0.5072754988913526,24
21,134,134,134,40.73559573207679,-73.99097674497379,1,0.9607843137254902,0.7407407407407406,0.5638973577235774,0.0,0.07737449377613258,0.3666666666666667,0.6326530612244897,3,1,12,39,47,39,17,0.4959083278650717,28,0.31632653061224486,39,0.2685361232450224,42,0.7623408357245338,37
22,147,147,147,40.72902759319728,-74.00676840880952,1,0.9607843137254902,0.7777777777777777,0.22179878048780488,0.5125942172785332,0.06121308322993785,0.3999999999999999,0.2755102040816326,8,10,32,4,2,11,38,0.468279729430196,22,0.3940522106800829,42,0.3274843851900539,21,0.5912915471066476,25
23,155,155,155,40.708252521892646,-74.0059655608192,1,0.9803921568627452,0.654320987654321,0.11771680216802168,0.7413151832703758,0.02369548981823681,0.5111111111111111,0.9795918367346941,22,23,33,40,17,6,13,0.582838742751399,20,0.860453510002535,2,0.6931019059656753,39,0.5490544795153834,40
24,167,167,167,40.74934764645418,-74.00462251394424,1,0.9607843137254902,0.6111111111111109,0.15091463414634146,0.882430762267829,0.02657206563152006,0.6,0.13265306122448978,23,32,10,26,23,26,36,0.4607443246844636,1,0.5075419117461594,21,0.4113479425232315,2,0.5558494739359159,11
25,184,184,184,40.7310539006391,-73.98040766548874,1,1.0,0.7777777777777777,0.21087398373983746,0.6786951450902559,0.044301489432793294,0.3999999999999999,0.08163265306122447,5,41,5,47,27,38,47,0.46554684151698145,38,0.38016389907574016,46,0.31299141714715084,46,0.6054369918699187,13
26,186,186,186,40.80558236658088,-73.962519445,1,0.9215686274509804,0.7851851851851851,0.1613821138211382,0.8434499045497004,0.06366874147848295,0.3333333333333333,0.1530612244897959,25,38,38,23,41,40,4,0.4880526328292138,16,0.4982555645197481,32,0.4113381999114951,32,0.5414753706360593,30
27,187,187,187,40.719389396169724,-73.98851240729358,1,0.7843137254901961,0.8164251207729468,0.5250530222693531,0.5237871429317442,0.09785353011166263,0.4608695652173914,0.21428571428571427,2,6,6,5,18,29,1,0.4936197093102695,12,0.36903642860872926,20,0.3147998489093159,3,0.6546833738797746,12
28,195,195,195,40.7852427977931,-73.97538524975863,1,0.9803921568627452,0.735042735042735,0.21646341463414634,0.6512379526636133,0.0285287796881107,0.4461538461538461,0.18367346938775508,36,16,40,45,40,23,41,0.4658897513798509,6,0.4174557110256842,3,0.3396703247581695,20,0.5984277857484458,23
29,199,199,199,40.76088301850203,-73.99816703983805,1,1.0,0.7222222222222222,0.16996951219512196,0.8282068689400657,0.02944379756279863,0.2,0.040816326530612235,43,44,41,8,35,37,40,0.46510978790847013,40,0.434511597735339,16,0.3534980377008309,38,0.584984756097561,29
30,200,200,200,40.741481662351546,-73.99754406790974,1,0.9215686274509804,0.7037037037037036,0.12118902439024393,0.8590004699984328,0.03007920244487462,0.3333333333333333,0.7448979591836734,35,2,30,29,7,7,39,0.5634064978619848,45,0.8019492145910532,38,0.6475752121618175,41,0.5213788259206122,6
31,205,205,205,40.766691983825496,-73.96799229741609,1,0.9803921568627452,0.7777777777777777,0.4748475609756098,0.7650007833307214,0.07444270698662972,0.0,0.32653061224489793,33,40,27,37,9,12,26,0.5664985996963969,2,0.5457656977878097,41,0.4515010996275737,6,0.7276198589191775,26
