address,price,zipcode
1301 Southern Blvd,$38.00 USD,10459
115 E 23rd St,$58.00 USD,10010
4 Bryant Park,$55.00 - $68.00 USD,10036
10 E 38th St,$45.00 - $49.00 USD,10016
31-00 47th Ave,NA,11101
28 W 44th St,NA,10036
125 North St,NA,07608
369 Lexington Ave,$48.00 - $144.00 USD,10017
1441 Broadway,$54.00 - $96.00 USD,10018
777 Third Ave,NA,10017
289-315 Route 17 S,NA,07652
124 Bay St,NA,07302
10 North Ave,NA,07201
2 Atlantic Ave,$18.00 USD,11201
225-235 E 64th St,NA,10065
700 Columbia St,$18.00 USD,11231
45 Main St,$40.00 - $52.00 USD,11201
921 Bergen Ave,$20.00 - $30.00 USD,07306
230 Flatbush Ave,$125.00 USD,11217
25 Main St,NA,07601
45 W 45th St,NA,10036
45 W 45th St,NA,10036
9-20 35th Ave,NA,11106
505 Northern Blvd,NA,11021
148 39th St,NA,11232
150 Broadway,NA,10038
110 W 40th St,$70.00 - $75.00 USD,10018
4 Times Sq,NA,10036
1156 Avenue of the Americas,NA,10036
45-47 W 27th St,NA,10001
385 Fifth Ave,$55.00 USD,10016
133 E 58th St,$75.00 USD,10022
71 W 47th St,$43.00 - $48.00 USD,10036
2 W 46th St,$49.00 - $64.00 USD,10036
25 W 45th St,NA,10036
880 Third Ave,$58.00 - $65.00 USD,10022
110 E 42nd St,$60.00 - $65.00 USD,10017
274 Madison Ave,$56.00 - $58.00 USD,10016
215 Park Ave S,NA,10003
1 Whitehall St,$55.00 USD,10004
560 Lexington Ave,$75.00 USD,10022
501 Fifth Ave,$58.00 - $65.00 USD,10017
286 Madison Ave,NA,10017
733 Third Ave,NA,10017
415 Madison Ave,$55.00 USD,10017
485 Madison Ave,$57.00 - $300.00 USD,10022
315 Madison Ave,$58.00 - $65.00 USD,10017
369 Lexington Ave,$59.00 USD,10017
55 Broad St,$48.00 - $52.00 USD,10004
420 Lexington Ave,NA,10170
675 Third Ave,NA,10017
1 Battery Park Plz,$54.00 - $56.00 USD,10004
1350 Sixth Ave,NA,10019
120 Broadway,NA,10271
120 Broadway,NA,10271
65 Challenger Rd,$25.50 USD,07660
37 Union Sq W,$416.67 USD,10003
38 W 21st St,NA,10010
154 W 14th St,$48.00 USD,10011
241 Fifth Ave,NA,10016
2488 Fulton St,$9.60 USD,11207
4202 Third Ave,$36.00 USD,11232
100 Stanton St,$220.00 USD,10002
430 Main St,$72.72 USD,07601
3034-3040 E Tremont Ave,$38.83 USD,10461
121-123 Madison St,$116.42 USD,10002
1379 W 6th St,$21.81 - $22.50 USD,11204
103-113 N 3rd St,$48.00 USD,11249
75-77 Paterson Ave,$12.00 USD,07057
402 E 136th St,$30.00 USD,10454
70-17 Austin St,$31.00 - $35.00 USD,11375
429-431 Lenox Ave,$45.00 USD,10037
20 W 38th St,$45.00 USD,10018
300 Columbia Ave,$7.50 USD,07644
880-884 Wyckoff Ave,$55.86 USD,11237
292-298 Nevins St,$55.08 USD,11217
34-36 W 44th St,$62.00 USD,10036
126-134 Nagle Ave,$73.00 USD,10040
168 Canal St,NA,10013
304 5th Ave,$54.28 USD,11215
4614 5th Ave,NA,11220
678 Woodward Ave,$47.60 USD,11385
1413 Avenue J,$60.00 USD,11230
86 Central Ave,$48.00 USD,11206
3178 Nostrand Ave,NA,11229
1828-1838 Webster Ave,$14.00 - $22.00 USD,10457
811 43rd Rd,NA,11101
270 North Ave,$24.00 USD,10801
647 Broadway,$60.00 - $150.00 USD,10012
336-342 W 37th St,$51.69 USD,10018
6054 Metropolitan Ave,$25.00 USD,11385
137 Hudson St,$79.80 USD,10013
1500-1502 Pitkin Ave,NA,11212
37 Hackensack Ave,$20.00 USD,07086
36 Waverly Ave,$24.00 - $36.00 USD,11205
159-161 Remsen St,$80.00 USD,11201
220 Bogart St,$28.00 - $40.00 USD,11206
1380 First Ave,$160.00 USD,10021
2543 Marion Ave,$22.50 USD,10458
171 S Newman St,$5.75 USD,07601
