address,price,zipcode
1001 Avenue of the Americas,57,10018
1385 Broadway,NA,10018
22 E 48th St,NA,10017
555 Eighth Avenue,NA,10018
555 Eighth Avenue,NA,10018
14 Penn Plaza,NA,10122
355 Lexington Avenue,59,10017
42 Broadway,40,10004
445 Park Avenue,NA,10022
463 Seventh Avenue,350,10018
350 Seventh Avenue,55,10001
711 Third Avenue,NA,10017
915 Broadway,NA,10010
425 Madison Avenue,59.5,10017
6 E 45th St,59.5,10017
71 W 23rd St,NA,10010
40 Rector St,NA,10006
693 Fifth Avenue,NA,10022
125 Maiden Ln,46,10038
29 W 38th St,NA,10018
353 Lexington Avenue,NA,10016
39 W 32nd St,46,10001
185 Madison Avenue,70.8,10016
20 W 22nd St,NA,10010
230 W 39th St,50,10018
2 W 46th St,59,10036
330 W 38th St,44,10018
215 W 40th St,52,10018
255 W 36th St,49,10018
720 Fifth Avenue,NA,10019
16 E 40th St,50,10016
545 Fifth Avenue,59,10017
21 W 36th St,39,10018
249 W 39th St,49,10018
317 E 34th St,99.84,10016
44 W 18th St,208.33,10011
8 W 38th St,72.41,10018
9 E 37th St,53,10016
131 Varick St,72.48,10013
3 W 35th St,600,10001
417 Fifth Avenue,58,10016
118 E 28th St,48,10016
150 Varick St,75,10013
43 W 26th St,72.35,10010
380 Second Avenue,NA,10010
5 E 59th St,NA,10022
641 Avenue of the Americas,NA,10011
144 E 44th St,135,10017
601 Madison Avenue,NA,10022
215 E 58th St,55,10022
556 Broadway,55,10012
6 E 46th St,44,10017
140 W 30th St,45,10001
375 W Broadway,NA,10012
3 W 30th St,108,10001
605 Madison Avenue,1000,10022
530 W 25th St,51,10001
152 W 36th St,45.43,10018
1281 Second Avenue,NA,10065
119 W 23rd St,46,10011
112 W 27th St,90,10001
465 Park Avenue,NA,10022
434 Broadway,NA,10013
16 E 79th St,120,10075
46 Warren St,NA,10007
58 Gansevoort St,550,10014
460 W 35th St,NA,10001
8 E 41st St,60,10017
341 E 79th St,NA,10075
134 Spring St,76.83,10012
515 W 20th St,45,10011
68 Gansevoort St,550,10014
134 5th Avenue,312,10011
434 W Broadway,NA,10012
47 W 14th St,120,10011
319 Bowery,NA,10003
64 W 38th St,39,10018
550 Fifth Avenue,NA,10036
118 W 14th St,114.42,10011
262 W 38th St,41.22,10018
75 W Houston St,NA,10012
136 E 57th St,67.5,10022
70 W 40th St,58,10018
10 W 33rd St,75,10001
232 W 40th St,NA,10018
375 Greenwich St,NA,10013
147 W 35th St,46.5,10001
1978 Third Avenue,NA,10029
234 W 39th St,53,10018
36 W 44th St,56,10036
418 E 71st St,85,10021
295 Greenwich St,NA,10007
549 Third Avenue,NA,10016
207 E 94th St,NA,10128
107 Grand St,325,10013
88 Greenwich St,100,10006
229 Mott St,120,10012
111 Central Park N,NA,10026
1955 Adam Clayton Powell Jr Blvd,57,10026
One World Trade Center,80,10007
122 Hudson St,NA,10013
15 Gansevoort St,NA,10014
161 W 4th St,134.29,10014
320 E 59th St,NA,10022
301 E 108th St,NA,10029
126 Christopher St,NA,10014
1131 Madison Avenue,250,10028
170 W 23rd St,NA,10011
230 E 14th St,240,10003
888 7th Avenue,385,10106
353 E 58th St,45.23,10022
79 Greene St,NA,10012
2547 Broadway,170.69,10025
160 W 97th St,NA,10025
448 W 14th St,NA,10014
267 Canal St,52,10013
234 Elizabeth St,252.27,10012
199 Lafayette St,300,10012
2178 Amsterdam Avenue,NA,10032
284 Audubon Avenue,30,10033
3361 Broadway,91.76,10031
560 W 144th St,50.4,10031
349 Avenue of the Americas,165,10014
7 E 75th St,NA,10021
516 W 181st St,35,10033
448 Amsterdam Avenue,188.57,10024
2500 Adam Clayton Powell Jr Blvd,60,10039
3826 Broadway,111.43,10032
4101 Broadway,90,10033
83 Lexington Avenue,NA,10016
638 W 174th St,90,10033
1027 Lexington Avenue,255.32,10021
60 Riverside Blvd,80,10069
330 Spring St,125,10013
390 Second Avenue,NA,10010
12 W 19th St,NA,10011
7 W 19th St,NA,10011
23 E 107th St,70,10029
2218 Broadway,NA,10024
178 W Houston St,110.77,10014
104 Wooster St,NA,10012
555 Columbus Avenue,NA,10024
3815 Broadway,NA,10032
709 Lexington Avenue,429.53,10022
554 W 174th St,30,10033
528 W 162nd St,30,10032
169 Bowery,110.4,10002
506 Ninth Avenue,NA,10018
271 Fifth Avenue,NA,10016
508 E 12th St,150,10009
152 Ninth Avenue,NA,10011
2304 Amsterdam Avenue,62.4,10033
66 St James Pl,65,10038
250 Canal St,NA,10013
780 Madison Avenue,720,10065
393 W End Avenue,NA,10024
315 E 94th St,80,10128
279 E Tenth St,149.85,10009
20 Clinton St,102.86,10002
102 Forsyth St,200,10002
60 W 57th St,250,10019
371 Broadway,NA,10013
2172 Third Avenue,66.49,10035
260 E 68th St,85,10065
260 E 68th St,200,10065
450 Sixth Avenue,NA,10011
2023 Third Avenue,65,10029
207 E 110th St,45,10029
159 W 118th St,NA,10026
205 E 72nd St,100,10021
473 W Broadway,52.8,10012
392 Bleecker St,385.71,10014
536 W 145th St,70,10031
430 E 75th St,125,10021
159 E 116th St,NA,10029
508 W 24th St,NA,10011
2011 Third Avenue,30,10029
2 Wooster St,NA,10013
120 Spring St,588,10012
177 E 117th St,82.29,10035
176 Delancey St,NA,10002
258 W 109th St,205.26,10025
600 W 58th St,NA,10019
2340 Fifth Avenue,49,10037
251 E 77th St,80,10075
617 W 46th St,87.5,10036
2234 Broadway,NA,10024
353 W 48th St,NA,10036
875 Avenue of the Americas,160,10001
1745 Broadway,NA,10019
845 Third Avenue,NA,10022
200 E 62nd St,120,10065
387 Park Avenue S,NA,10016
350 Seventh Avenue,55,10001
260 Madison Avenue,NA,10016
57 W 57th St,NA,10019
625 W 57th St,NA,10019
50 Gansevoort St,550,10014
74 Gansevoort St,650,10014
29 E 104th St,84,10029
304 W 49th St,NA,10019
340 Madison Avenue,NA,10173
104 W 40th St,NA,10018
299 Park Avenue,NA,10171
134 W 23rd St,170,10011
146 W 47th St,111.43,10036
369 Lexington Avenue,144,10017
48 W 37th St,45,10018
535 Fifth Avenue,NA,10017
1177 Avenue of the Americas,NA,10036
405 Lexington Avenue,NA,10174
80 Broad St,NA,10004
161 Madison Avenue,13.33,10016
132 W 31st St,NA,10001
229 W 14th St,NA,10011
575 Madison Avenue,NA,10022
415 Madison Avenue,NA,10017
176 Fifth Avenue,NA,10010
188 Lafayette St,NA,10013
590 Madison Avenue,NA,10022
605 W 129th St,NA,10027
332 W 13th St,NA,10014
11 W 141st St,25,10037
2014 3rd Avenue,36.92,10029
411 Lafayette St,NA,10003
477 Madison Avenue,NA,10022
140 Broadway,NA,10005
60 E 42nd St,NA,10165
1250 Broadway,NA,10001
99 Hudson St,NA,10013
454 Broadway,312,10013
126 E 7th St,106.67,10009
1 Liberty Plz,NA,10006
517 E 116th St,NA,10029
555 Madison Avenue,NA,10022
39 E 28th St,48,10016
100 Church St,NA,10007
1501 Broadway,NA,10036
635 Madison Avenue,NA,10022
41 Madison Avenue,NA,10010
200 Vesey St,NA,10285
242 W 30th St,NA,10001
780 Third Avenue,108,10017
445 Park Avenue,NA,10022
353 W 57th St,NA,10019
136 Madison Avenue,NA,10016
90 Park Avenue,NA,10016
600 Third Avenue,NA,10016
245 Park Avenue,NA,10167
750 Third Avenue,NA,10017
1325 Avenue of the Americas,NA,10019
77 Water St,NA,10005
295 Madison Avenue,NA,10017
1370 Broadway,186,10018
173 Chrystie St,NA,10002
635 Madison Avenue,NA,10022
241 W 30th St,43.5,10001
2351 Adam Clayton Powell Jr Blvd,55,10030
675 Third Avenue,NA,10017
392 Broadway,45.41,10013
25 W 45th St,NA,10036
1277 Third Avenue,186.67,10021
200 Central Park S,NA,10019
133 W 52nd St,175,10019
333 E 116th St,42,10029
462 W Broadway,NA,10012
17 Crosby St,NA,10013
821 Ninth Avenue,NA,10019
2574 Adam Clayton Powell Jr Blvd,45.41,10039
133 W 18th St,NA,10011
8 W 40th St,65,10018
115 E 57th St,NA,10022
148 W 36th St,NA,10018
386 Broome St,231.43,10013
1065 Madison Avenue,NA,10028
1110 Lexington Avenue,NA,10075
20 W 22nd St,NA,10010
2049 Broadway,NA,10023
123 W 138th St,1.24,10030
1006 First Avenue,NA,10022
130 Delancey St,150,10002
118 Nagle Avenue,74.28,10040
2459 Broadway,213.27,10024
595 Madison Avenue,NA,10022
2699 Broadway,NA,10025
21 W End Avenue,NA,10023
184 Fifth Avenue,NA,10010
500 W 175th St,84.83,10033
714 W 181st St,141.45,10033
273 W 138th St,70.6,10030
150 Allen St,99.74,10002
381 Bleecker St,NA,10014
340 E 11th St,120,10003
540 Broadway,NA,10012
998 Columbus Avenue,59.06,10025
4290 Broadway,79,10033
378 Sixth Avenue,290.95,10011
2239 Broadway,70.48,10024
1116 Second Avenue,90,10022
3858 Broadway,110,10032
1143 1ST Avenue,144,10065
160 E 56th St,55,10022
9 E 68th St,NA,10065
1155 First Avenue,NA,10065
301 Madison Avenue,58,10017
10 W 56th St,NA,10019
530 Seventh Avenue,NA,10018
192 W 4th St,NA,10014
61 Sullivan St,150,10012
253 W 35th St,44,10001
575 West End Avenue,73.6,10024
344 E 59th St,109.28,10022
1770 Madison Avenue,NA,10035
543 Broadway,648.23,10012
545 Broadway,49,10012
2026 Broadway,NA,10023
141 Duane St,97.53,10013
28 W 32nd St,45.52,10001
396 E 10th St,NA,10009
118 Christopher St,NA,10014
200 E 62nd St,85,10065
305 2nd Avenue,60,10003
817 Broadway,144,10003
519 Broadway,63,10012
124 W 30th St,NA,10001
139 Charles St,55.81,10014
7 World Trade Ctr,NA,10007
40 Fulton St,25,10038
111 Christopher St,192,10014
137 W 19th St,67,10011
146 W 29th St,45,10001
437 W 125th St,75,10027
