,address,lat,lng,price
44,120 E 56th St,40.76040115,-73.9706677413073,65.00
45,37 W 47th St,40.7576581,-73.9803629846237,49.00
46,13030 90th Ave,40.698831,-73.820721,13.20
47,33 Washington St,40.7032893,-73.989445,30.00
48,1301 Southern Blvd,40.8568646,-73.8806566,38.00
49,115 E 23rd St,40.7400068,-73.9855301,58.00
50,10 E 38th St,40.7504045,-73.9819951325947,49.00
51,369 Lexington Ave,40.7503856,-73.9766427,144.00
52,1441 Broadway,40.7549036,-73.9868917,96.00
53,2 Atlantic Ave,40.67583755,-73.9032976290486,18.00
54,700 Columbia St,40.6878498,-74.0013383,18.00
55,45 Main St,40.702869,-73.990485,52.00
56,921 Bergen Ave,40.6291315,-73.9169627,30.00
57,230 Flatbush Ave,40.6805383666667,-73.9751308666667,125.00
58,110 W 40th St,40.75370795,-73.9859648909137,75.00
59,385 Fifth Ave,42.7976632,-73.9527343,55.00
60,133 E 58th St,40.7618066,-73.9688644,75.00
61,71 W 47th St,40.7578839,-73.9812222,48.00
62,2 W 46th St,40.7560989,-73.979804148941,64.00
63,880 Third Ave,40.75801845,-73.9695730545953,65.00
64,110 E 42nd St,40.7514708,-73.9772363884715,65.00
65,274 Madison Ave,40.7513152,-73.9806127417628,58.00
66,1 Whitehall St,40.7038284,-74.0127779321612,55.00
67,560 Lexington Ave,40.75685895,-73.9726320254845,75.00
68,501 Fifth Ave,42.7976632,-73.9527343,65.00
69,415 Madison Ave,40.75666415,-73.9760502933117,55.00
70,485 Madison Ave,40.75880805,-73.9744705952298,300.00
71,315 Madison Ave,40.79789665,-73.2533010005852,65.00
72,369 Lexington Ave,40.7503856,-73.9766427,59.00
73,55 Broad St,40.7052834,-74.0110278640401,52.00
74,37 Union Sq W,40.7370032,-73.9908463907585,416.67
75,154 W 14th St,40.7382956,-73.9994603,48.00
76,2488 Fulton St,40.680292,-73.947731,9.60
77,4202 Third Ave,42.8002283,-73.9523152,36.00
78,100 Stanton St,40.7213867,-73.9879296,220.00
79,430 Main St,40.50431525,-74.24552825,72.72
80,3034-3040 E Tremont Ave,40.839428,-73.869659,38.83
81,121-123 Madison St,40.7126536,-73.9900158,116.42
82,1379 W 6th St,40.61155195,-73.9799964345183,22.50
83,103-113 N 3rd St,40.718375,-73.964621,48.00
84,402 E 136th St,40.8075452,-73.9234654,30.00
85,70-17 Austin St,40.715198,-73.836121,35.00
86,429-431 Lenox Ave,42.661262,-73.809211,45.00
87,20 W 38th St,40.75122665,-73.9839049816739,45.00
88,300 Columbia Ave,40.601169,-74.071119,7.50
89,880-884 Wyckoff Ave,40.702046,-73.9156,55.86
90,292-298 Nevins St,40.679744,-73.986961,55.08
91,34-36 W 44th St,40.7631515,-73.9997912,62.00
92,126-134 Nagle Ave,40.8634177,-73.9199903,73.00
93,304 5th Ave,40.6735643,-73.9828276,54.28
94,678 Woodward Ave,40.7050386,-73.9062930831808,47.60
95,1413 Avenue J,40.6253698,-73.9618275413762,60.00
96,86 Central Ave,40.7007008,-73.9299957,48.00
97,270 North Ave,40.9127271,-73.7782906,24.00
98,647 Broadway,40.72686305,-73.99588005,150.00
99,336-342 W 37th St,40.7572021,-73.9994854,51.69
100,6054 Metropolitan Ave,40.7133425,-73.8696292,25.00
101,137 Hudson St,40.717265,-74.009064,79.80
102,37 Hackensack Ave,43.4983101,-73.7783504,20.00
103,36 Waverly Ave,40.76571085,-73.0251215531389,36.00
104,159-161 Remsen St,40.69412,-73.994619,80.00
105,220 Bogart St,40.710285,-73.935179,40.00
106,1380 First Ave,42.8021386,-73.9528461,160.00
107,2543 Marion Ave,40.86227665,-73.8929092645051,22.50
108,171 S Newman St,40.773291,-73.226327,5.75
109,1723 E 12th St,40.60734115,-73.9605772071313,35.00
110,925 Shepherd Ave,40.6622813,-73.8747440182984,25.00
111,211 61st St,40.64282845,-74.0228423803285,20.80
